# famiglia	banda	path	n	ncons	nnz	quota_bin   (E1: 176 istanze, da mk_inst_e1.py)
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cap6000.mps.gz	6000	2176	48243	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex128-5.mps.gz	9216	8447	33780	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex256-8.mps.gz	18432	16895	67572	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex32-8.mps.gz	2304	2111	8436	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/co-100.mps.gz	48417	2187	1995817	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cod105.mps.gz	1024	1024	57344	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/core2536-691.mps.gz	15293	2539	177739	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/core2586-950.mps.gz	13226	2589	104678	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/core4284-1064.mps.gz	21714	4287	245121	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/core4872-1529.mps.gz	24656	4875	218762	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs08r139-94.mps.gz	1864	2398	6456	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r106-72.mps.gz	2848	3608	9888	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r128-89.mps.gz	3472	4633	12528	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r70-62.mps.gz	2112	3278	8512	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cvs16r89-60.mps.gz	2384	3068	8368	1.000
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/dc1c.mps.gz	10039	1649	121158	0.835
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/dc1l.mps.gz	37297	1653	448754	0.956
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/disctom.mps.gz	10000	399	30000	1.000
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/dolom1.mps.gz	11612	1803	190413	0.837
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-100-12.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-100-23.mps.gz	11090	4630	41550	0.994
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ds.mps.gz	67732	656	1024059	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/eil33-2.mps.gz	4516	32	44243	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/eilA101-2.mps.gz	65832	100	959373	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/eilC76-2.mps.gz	28599	75	314837	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ex1010-pi.mps.gz	25200	1468	102114	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap201600.mps.gz	1600	20	3200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap401600.mps.gz	1600	40	3200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap40400.mps.gz	400	40	800	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2gap801600.mps.gz	1600	80	3200	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/fast0507.mps.gz	63009	507	409349	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira100.mps.gz	5150	10000	29873	0.981
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/fiball.mps.gz	34219	3707	104792	0.992
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/fiber.mps.gz	1298	363	2944	0.966
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/glass-sc.mps.gz	214	6119	63918	1.000
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/glass4.mps.gz	322	396	1815	0.938
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/gmut-76-50.mps.gz	68865	2586	470045	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/graph20-20-1rand.mps.gz	2183	5587	19277	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/iis-glass-cov.mps.gz	214	5375	56133	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/iis-hc-cov.mps.gz	297	9727	142971	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/irp.mps.gz	20315	39	98254	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/leo1.mps.gz	6731	593	131218	1.000
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/liu.mps.gz	1156	2178	10626	0.942
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/mad.mps.gz	220	51	2808	0.909
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/mas74.mps.gz	151	13	1706	0.993
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/mas76.mps.gz	151	12	1640	0.993
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mcsched.mps.gz	1747	2107	8088	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/misc07.mps.gz	260	212	8619	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mkc.mps.gz	5325	3411	17038	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mod010.mps.gz	2655	146	11203	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/n2seq36f.mps.gz	8100	285	60948	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/n3div36.mps.gz	22120	4484	340740	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1324574.mps.gz	5256	5904	20880	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1330346.mps.gz	2664	4248	13032	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1516309.mps.gz	4500	489	30400	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1599274.mps.gz	4500	1237	46800	1.000
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-1601936.mps.gz	4446	3131	72500	0.879
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-2746589-doon.mps.gz	50936	31530	271072	0.995
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3118745-obra.mps.gz	1131	144	4521	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3352863-ancoa.mps.gz	20046	169	869239	1.000
miplib2017	bin0.90	/nfsd/rop/instances/miplib2017/neos-3402294-bobin.mps.gz	2904	591076	2034888	0.901
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3437289-erdre.mps.gz	12162	7358	149856	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3634244-kauru.mps.gz	4376	761450	2292500	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-3696678-lyvia.mps.gz	7683	9004	30452	0.978
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4413714-turia.mps.gz	190402	2303	761756	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4760493-puerua.mps.gz	53593	106954	266805	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4763324-toguru.mps.gz	53593	106954	266805	1.000
miplib2017	bin0.86	/nfsd/rop/instances/miplib2017/neos-498623.mps.gz	9861	2047	148434	0.862
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-5013590-toitoi.mps.gz	27061	53957	134480	1.000
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-503737.mps.gz	2850	500	16850	0.877
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-5107597-kakapo.mps.gz	3114	6498	19392	0.956
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-5115478-kaveri.mps.gz	3114	6498	19392	0.956
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-525149.mps.gz	3640	144120	1519200	0.989
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-633273.mps.gz	11154	21781	63910	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-780889.mps.gz	182700	73910	497210	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-820879.mps.gz	9522	361	72356	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-827015.mps.gz	79347	7688	166239	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-829552.mps.gz	40971	5153	86952	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-860300.mps.gz	1385	850	384329	0.999
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/neos-911970.mps.gz	888	107	3408	0.946
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-914441.mps.gz	15007	15129	59658	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-932721.mps.gz	22266	18085	107908	0.980
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-933562.mps.gz	3032	3200	28800	0.997
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-933638.mps.gz	32417	13658	187173	0.883
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-933966.mps.gz	31762	12047	180618	0.881
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-954925.mps.gz	84718	2989	844983	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-956971.mps.gz	57756	2527	483560	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-957143.mps.gz	57756	2767	497676	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-957323.mps.gz	57756	3757	499656	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos18.mps.gz	3312	11402	24614	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos8.mps.gz	23228	46324	313180	1.000
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/nexp-150-20-8-5.mps.gz	20115	4620	42465	0.889
miplib2017	bin0.80	/nfsd/rop/instances/miplib2017/nexp-50-20-4-2.mps.gz	1225	540	2695	0.800
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nsrand-ipx.mps.gz	6621	735	223261	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu120-pr12.mps.gz	5868	2313	17712	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu120-pr9.mps.gz	7350	2220	22176	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu25-pr12.mps.gz	5868	2313	17712	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu4-pr9.mps.gz	7350	2220	22176	0.994
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nursesched-medium04.mps.gz	29667	8668	621829	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nursesched-sprint-hidden09.mps.gz	11650	4872	208050	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nursesched-sprint-late03.mps.gz	11690	5032	208410	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nursesched-sprint02.mps.gz	10250	3522	204000	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/nw04.mps.gz	87482	36	636666	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z10-s4.mps.gz	6250	160633	371240	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z6-s1.mps.gz	1350	15533	41844	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z7-s8.mps.gz	2023	31798	79756	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z8-s0.mps.gz	3200	63608	152793	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opt1217.mps.gz	769	64	1542	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/polygonpack4-10.mps.gz	20537	65935	339036	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/polygonpack4-7.mps.gz	10788	34529	178591	0.999
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/probportfolio.mps.gz	320	302	6620	0.938
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/pw-myciel4.mps.gz	1059	8164	17779	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/qap10.mps.gz	4150	1820	18200	1.000
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/qnet1.mps.gz	1541	503	4622	0.836
miplib2017	bin0.84	/nfsd/rop/instances/miplib2017/qnet1_o.mps.gz	1541	456	4214	0.836
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/queens-30.mps.gz	900	960	93440	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/rail507.mps.gz	63019	509	468878	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock115.mps.gz	1150	4735	13724	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock354.mps.gz	3540	19906	52901	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/rlp1.mps.gz	461	68	836	0.976
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/rococoB10-011000.mps.gz	4456	1667	16517	0.969
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/rococoC10-001000.mps.gz	3117	1293	11751	0.960
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/rococoC11-010100.mps.gz	12321	4010	46955	0.987
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/rococoC11-011100.mps.gz	6491	2367	30472	0.974
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/rococoC12-010001.mps.gz	16741	4636	59832	0.989
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/s55.mps.gz	78141	9892	317902	1.000
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/sing5.mps.gz	154463	92183	408715	0.947
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sorrell3.mps.gz	1024	169162	338324	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sorrell4.mps.gz	2048	504451	1008902	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sorrell7.mps.gz	2048	78848	157696	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sp97ar.mps.gz	14101	1761	290968	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sp97ic.mps.gz	12497	1033	316629	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sp98ar.mps.gz	15085	1435	426148	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sp98ic.mps.gz	10894	825	316317	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/square23.mps.gz	11660	7887	898813	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase14.mps.gz	304	234	1129	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase16.mps.gz	319	130	1076	1.000
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/supportcase26.mps.gz	436	870	2492	0.908
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase6.mps.gz	130052	771	584976	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/t1717.mps.gz	73885	551	325689	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/t1722.mps.gz	36630	338	133096	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tbfp-bigm.mps.gz	2406	35999	74338	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tbfp-network.mps.gz	72747	2436	215837	1.000
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/trento1.mps.gz	7687	1265	93571	0.835
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tw-myciel4.mps.gz	760	8146	27961	0.999
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/umts.mps.gz	2947	4465	23016	0.951
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/v150d30-2hopcds.mps.gz	150	7822	103991	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/var-smallemery-m6j6.mps.gz	5608	13416	850621	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/wachplan.mps.gz	3361	1553	89361	1.000
