fpc/out/fact/p2m2p1m1p0n100__bare_s0.log:presolved problem has 100 variables (100 bin, 0 int, 0 cont) and 23 constraints
fpc/out/fact/f2gap401600__bare_s0.log:presolved problem has 1600 variables (1600 bin, 0 int, 0 cont) and 40 constraints
fpc/out/fact/neos-911970__bare_s0.log:presolved problem has 855 variables (807 bin, 0 int, 48 cont) and 114 constraints
fpc/out/fact/f2gap801600__bare_s0.log:presolved problem has 1600 variables (1600 bin, 0 int, 0 cont) and 80 constraints
fpc/out/fact/assign1-5-8__bare_s0.log:presolved problem has 156 variables (130 bin, 0 int, 26 cont) and 161 constraints
fpc/out/fact/app2-2__bare_s0.log:presolved problem has 1223 variables (1223 bin, 0 int, 0 cont) and 326 constraints
fpc/out/fact/fiber__bare_s0.log:presolved problem has 1043 variables (1043 bin, 0 int, 0 cont) and 289 constraints
fpc/out/fact/neos-4338804-snowy__bare_s0.log:presolved problem has 1344 variables (1260 bin, 42 int, 42 cont) and 1491 constraints
fpc/out/fact/bppc8-02__bare_s0.log:presolved problem has 203 variables (202 bin, 0 int, 1 cont) and 56 constraints
fpc/out/fact/neos-3118745-obra__bare_s0.log:presolved problem has 1130 variables (1130 bin, 0 int, 0 cont) and 137 constraints
fpc/out/fact/gmu-35-40__bare_s0.log:presolved problem has 652 variables (647 bin, 0 int, 5 cont) and 357 constraints
fpc/out/fact/qnet1__bare_s0.log:presolved problem has 1417 variables (1289 bin, 128 int, 0 cont) and 361 constraints
fpc/out/fact/csched008__bare_s0.log:presolved problem has 1479 variables (1284 bin, 0 int, 195 cont) and 592 constraints
fpc/out/fact/mcsched__bare_s0.log:presolved problem has 1495 variables (1495 bin, 0 int, 0 cont) and 1853 constraints
fpc/out/fact/probportfolio__bare_s0.log:presolved problem has 320 variables (300 bin, 0 int, 20 cont) and 302 constraints
fpc/out/fact/pigeon-10__bare_s0.log:presolved problem has 190 variables (180 bin, 0 int, 10 cont) and 317 constraints
fpc/out/fact/neos-3009394-lami__bare_s0.log:presolved problem has 1353 variables (1300 bin, 52 int, 1 cont) and 1677 constraints
fpc/out/fact/csched007__bare_s0.log:presolved problem has 1653 variables (1457 bin, 0 int, 196 cont) and 599 constraints
fpc/out/fact/csched010__bare_s0.log:presolved problem has 1654 variables (1457 bin, 0 int, 197 cont) and 541 constraints
fpc/out/fact/breastcancer-regularized__bare_s0.log:presolved problem has 711 variables (692 bin, 10 int, 9 cont) and 754 constraints
fpc/out/fact/fhnw-sq3__bare_s0.log:presolved problem has 2404 variables (2355 bin, 49 int, 0 cont) and 204 constraints
fpc/out/fact/cvs08r139-94__bare_s0.log:presolved problem has 1864 variables (1864 bin, 0 int, 0 cont) and 2398 constraints
fpc/out/fact/chromaticindex32-8__bare_s0.log:presolved problem has 2304 variables (2304 bin, 0 int, 0 cont) and 2111 constraints
fpc/out/fact/cvs16r70-62__bare_s0.log:presolved problem has 1652 variables (1652 bin, 0 int, 0 cont) and 2103 constraints
fpc/out/fact/misc07__bare_s0.log:presolved problem has 186 variables (186 bin, 0 int, 0 cont) and 221 constraints
fpc/out/fact/gmu-35-50__bare_s0.log:presolved problem has 953 variables (948 bin, 0 int, 5 cont) and 358 constraints
fpc/out/fact/cvs16r89-60__bare_s0.log:presolved problem has 2384 variables (2384 bin, 0 int, 0 cont) and 3068 constraints
fpc/out/fact/liu__bare_s0.log:presolved problem has 1154 variables (1087 bin, 0 int, 67 cont) and 2178 constraints
fpc/out/fact/10teams__bare_s0.log:presolved problem has 1600 variables (1600 bin, 0 int, 0 cont) and 210 constraints
fpc/out/fact/neos-831188__bare_s0.log:presolved problem has 4592 variables (4592 bin, 0 int, 0 cont) and 2165 constraints
fpc/out/fact/bppc8-09__bare_s0.log:presolved problem has 356 variables (355 bin, 0 int, 1 cont) and 67 constraints
fpc/out/fact/app2-1__bare_s0.log:presolved problem has 2990 variables (2990 bin, 0 int, 0 cont) and 1021 constraints
fpc/out/fact/mod010__bare_s0.log:presolved problem has 2564 variables (2564 bin, 0 int, 0 cont) and 143 constraints
fpc/out/fact/rococoC10-001000__bare_s0.log:presolved problem has 2442 variables (2442 bin, 0 int, 0 cont) and 576 constraints
fpc/out/fact/amaze22012-06-28i__bare_s0.log:presolved problem has 10641 variables (3582 bin, 96 int, 6963 cont) and 14502 constraints
fpc/out/fact/cvs16r106-72__bare_s0.log:presolved problem has 2848 variables (2848 bin, 0 int, 0 cont) and 3608 constraints
fpc/out/fact/supportcase30__bare_s0.log:presolved problem has 1024 variables (1024 bin, 0 int, 0 cont) and 1028 constraints
fpc/out/fact/acc-tight2__bare_s0.log:presolved problem has 1620 variables (1620 bin, 0 int, 0 cont) and 2520 constraints
fpc/out/fact/mine-90-10__bare_s0.log:presolved problem has 837 variables (837 bin, 0 int, 0 cont) and 5348 constraints
fpc/out/fact/reblock115__bare_s0.log:presolved problem has 1106 variables (1106 bin, 0 int, 0 cont) and 4423 constraints
fpc/out/fact/toll-like__bare_s0.log:presolved problem has 2883 variables (2883 bin, 0 int, 0 cont) and 4638 constraints
fpc/out/fact/neos-2328163-agri__bare_s0.log:presolved problem has 2236 variables (2236 bin, 0 int, 0 cont) and 3484 constraints
fpc/out/fact/neos-1330346__bare_s0.log:presolved problem has 2628 variables (2628 bin, 0 int, 0 cont) and 4212 constraints
fpc/out/fact/no-ip-64999__bare_s0.log:presolved problem has 2232 variables (2187 bin, 45 int, 0 cont) and 2538 constraints
fpc/out/fact/no-ip-65059__bare_s0.log:presolved problem has 2232 variables (2187 bin, 45 int, 0 cont) and 2538 constraints
fpc/out/fact/neos-555424__bare_s0.log:presolved problem has 3538 variables (3530 bin, 8 int, 0 cont) and 4402 constraints
fpc/out/fact/pigeon-13__bare_s0.log:presolved problem has 286 variables (273 bin, 0 int, 13 cont) and 512 constraints
fpc/out/fact/cvs16r128-89__bare_s0.log:presolved problem has 3472 variables (3472 bin, 0 int, 0 cont) and 4633 constraints
fpc/out/fact/acc-tight5__bare_s0.log:presolved problem has 1016 variables (1016 bin, 0 int, 0 cont) and 2364 constraints
fpc/out/fact/aligninq__bare_s0.log:presolved problem has 1830 variables (1830 bin, 0 int, 0 cont) and 337 constraints
fpc/out/fact/neos-555001__bare_s0.log:presolved problem has 2744 variables (2676 bin, 68 int, 0 cont) and 1721 constraints
fpc/out/fact/neos-503737__bare_s0.log:presolved problem has 2850 variables (2500 bin, 0 int, 350 cont) and 500 constraints
fpc/out/fact/nu120-pr12__bare_s0.log:presolved problem has 4729 variables (4700 bin, 29 int, 0 cont) and 1696 constraints
fpc/out/fact/acc-tight4__bare_s0.log:presolved problem has 1539 variables (1539 bin, 0 int, 0 cont) and 3186 constraints
fpc/out/fact/neos-555343__bare_s0.log:presolved problem has 2888 variables (2880 bin, 8 int, 0 cont) and 3972 constraints
fpc/out/fact/rococoB10-011000__bare_s0.log:presolved problem has 3510 variables (3510 bin, 0 int, 0 cont) and 720 constraints
fpc/out/fact/mkc__bare_s0.log:presolved problem has 3273 variables (3272 bin, 0 int, 1 cont) and 1315 constraints
fpc/out/fact/nu25-pr12__bare_s0.log:presolved problem has 4728 variables (4699 bin, 29 int, 0 cont) and 1697 constraints
fpc/out/fact/fhnw-binpack4-77__bare_s0.log:presolved problem has 3526 variables (3418 bin, 0 int, 108 cont) and 4519 constraints
fpc/out/fact/fhnw-binpack4-48__bare_s0.log:presolved problem has 3330 variables (3225 bin, 0 int, 105 cont) and 4480 constraints
fpc/out/fact/pw-myciel4__bare_s0.log:presolved problem has 1013 variables (1012 bin, 1 int, 0 cont) and 4180 constraints
fpc/out/fact/neos-686190__bare_s0.log:presolved problem has 3660 variables (3600 bin, 60 int, 0 cont) and 3658 constraints
fpc/out/fact/neos-555884__bare_s0.log:presolved problem has 2928 variables (2920 bin, 8 int, 0 cont) and 4652 constraints
fpc/out/fact/neos-5115478-kaveri__bare_s0.log:presolved problem has 3002 variables (2933 bin, 0 int, 69 cont) and 3206 constraints
fpc/out/fact/neos-5261882-treska__bare_s0.log:presolved problem has 2043 variables (1885 bin, 0 int, 158 cont) and 2223 constraints
fpc/out/fact/mine-166-5__bare_s0.log:presolved problem has 708 variables (708 bin, 0 int, 0 cont) and 6690 constraints
fpc/out/fact/graph20-20-1rand__bare_s0.log:presolved problem has 340 variables (340 bin, 0 int, 0 cont) and 821 constraints
fpc/out/fact/neos-5107597-kakapo__bare_s0.log:presolved problem has 3002 variables (2933 bin, 0 int, 69 cont) and 3206 constraints
fpc/out/fact/neos-5125849-lopori__bare_s0.log:presolved problem has 8072 variables (8014 bin, 58 int, 0 cont) and 572 constraints
fpc/out/fact/neos-826650__bare_s0.log:presolved problem has 5072 variables (5024 bin, 0 int, 48 cont) and 2276 constraints
fpc/out/fact/neos-1324574__bare_s0.log:presolved problem has 5220 variables (5220 bin, 0 int, 0 cont) and 5832 constraints
fpc/out/fact/pigeon-16__bare_s0.log:presolved problem has 400 variables (384 bin, 0 int, 16 cont) and 765 constraints
fpc/out/fact/ns2071214__bare_s0.log:presolved problem has 2425 variables (1986 bin, 0 int, 439 cont) and 4818 constraints
fpc/out/fact/bnatt400__bare_s0.log:presolved problem has 1944 variables (1944 bin, 0 int, 0 cont) and 3895 constraints
fpc/out/fact/nu120-pr9__bare_s0.log:presolved problem has 6825 variables (6786 bin, 39 int, 0 cont) and 1925 constraints
fpc/out/fact/nu4-pr9__bare_s0.log:presolved problem has 6825 variables (6786 bin, 39 int, 0 cont) and 1925 constraints
fpc/out/fact/umts__bare_s0.log:presolved problem has 1648 variables (1516 bin, 66 int, 66 cont) and 1892 constraints
fpc/out/fact/neos18__bare_s0.log:presolved problem has 735 variables (735 bin, 0 int, 0 cont) and 3227 constraints
fpc/out/fact/bppc4-08__bare_s0.log:presolved problem has 1455 variables (1454 bin, 0 int, 1 cont) and 111 constraints
fpc/out/fact/neos-1582420__bare_s0.log:presolved problem has 2407 variables (2307 bin, 100 int, 0 cont) and 2487 constraints
fpc/out/fact/neos-3135526-osun__bare_s0.log:presolved problem has 97 variables (85 bin, 0 int, 12 cont) and 1137 constraints
fpc/out/fact/bnatt500__bare_s0.log:presolved problem has 2450 variables (2450 bin, 0 int, 0 cont) and 4915 constraints
fpc/out/fact/tw-myciel4__bare_s0.log:presolved problem has 618 variables (617 bin, 1 int, 0 cont) and 6162 constraints
fpc/out/fact/assign1-10-4__bare_s0.log:presolved problem has 572 variables (520 bin, 0 int, 52 cont) and 582 constraints
fpc/out/fact/neos-933562__bare_s0.log:presolved problem has 1184 variables (1176 bin, 0 int, 8 cont) and 772 constraints
fpc/out/fact/supportcase18__bare_s0.log:presolved problem has 13374 variables (13374 bin, 0 int, 0 cont) and 241 constraints
fpc/out/fact/fhnw-schedule-paira100__bare_s0.log:presolved problem has 5123 variables (5023 bin, 0 int, 100 cont) and 8396 constraints
fpc/out/fact/neos-3696678-lyvia__bare_s0.log:presolved problem has 632 variables (587 bin, 45 int, 0 cont) and 361 constraints
fpc/out/fact/disctom__bare_s0.log:presolved problem has 9991 variables (9991 bin, 0 int, 0 cont) and 394 constraints
fpc/out/fact/neos-1516309__bare_s0.log:presolved problem has 3601 variables (3601 bin, 0 int, 0 cont) and 1358 constraints
fpc/out/fact/neos-1337307__bare_s0.log:presolved problem has 2840 variables (2840 bin, 0 int, 0 cont) and 2023 constraints
fpc/out/fact/rococoC11-011100__bare_s0.log:presolved problem has 5060 variables (5060 bin, 0 int, 0 cont) and 770 constraints
fpc/out/fact/neos-3211096-shag__bare_s0.log:presolved problem has 4127 variables (4073 bin, 54 int, 0 cont) and 9762 constraints
fpc/out/fact/pigeon-20__bare_s0.log:presolved problem has 580 variables (560 bin, 0 int, 20 cont) and 1164 constraints
fpc/out/fact/seymour__bare_s0.log:presolved problem has 920 variables (920 bin, 0 int, 0 cont) and 4399 constraints
fpc/out/fact/peg-solitaire-a3__bare_s0.log:presolved problem has 4169 variables (4169 bin, 0 int, 0 cont) and 10043 constraints
fpc/out/fact/chromaticindex128-5__bare_s0.log:presolved problem has 9216 variables (9216 bin, 0 int, 0 cont) and 8447 constraints
fpc/out/fact/swath__bare_s0.log:presolved problem has 6260 variables (6240 bin, 0 int, 20 cont) and 482 constraints
fpc/out/fact/fhnw-binpack4-58__bare_s0.log:presolved problem has 6080 variables (5930 bin, 0 int, 150 cont) and 8982 constraints
fpc/out/fact/neos-1456979__bare_s0.log:presolved problem has 4585 variables (4235 bin, 175 int, 175 cont) and 6582 constraints
fpc/out/fact/neos-850681__bare_s0.log:presolved problem has 2205 variables (2205 bin, 0 int, 0 cont) and 1807 constraints
fpc/out/fact/supportcase4__bare_s0.log:presolved problem has 1112 variables (1112 bin, 0 int, 0 cont) and 4370 constraints
fpc/out/fact/neos-3603137-hoteo__bare_s0.log:presolved problem has 3895 variables (3841 bin, 54 int, 0 cont) and 10312 constraints
fpc/out/fact/qap10__bare_s0.log:presolved problem has 4150 variables (4150 bin, 0 int, 0 cont) and 1820 constraints
fpc/out/fact/reblock166__bare_s0.log:presolved problem has 1471 variables (1471 bin, 0 int, 0 cont) and 14377 constraints
fpc/out/fact/mitre__bare_s0.log:presolved problem has 4933 variables (4933 bin, 0 int, 0 cont) and 1315 constraints
fpc/out/fact/neos-3691541-lonja__bare_s0.log:presolved problem has 10215 variables (10200 bin, 0 int, 15 cont) and 10235 constraints
fpc/out/fact/hanoi5__bare_s0.log:presolved problem has 2076 variables (2076 bin, 0 int, 0 cont) and 8316 constraints
fpc/out/fact/drayage-100-12__bare_s0.log:presolved problem has 5612 variables (5593 bin, 0 int, 19 cont) and 742 constraints
fpc/out/fact/drayage-100-23__bare_s0.log:presolved problem has 5464 variables (5432 bin, 0 int, 32 cont) and 819 constraints
fpc/out/fact/amaze22012-07-04i__bare_s0.log:presolved problem has 28274 variables (9508 bin, 172 int, 18594 cont) and 38225 constraints
fpc/out/fact/drayage-25-23__bare_s0.log:presolved problem has 5495 variables (5460 bin, 0 int, 35 cont) and 863 constraints
fpc/out/fact/drayage-25-27__bare_s0.log:presolved problem has 5608 variables (5583 bin, 0 int, 25 cont) and 796 constraints
fpc/out/fact/drayage-25-32__bare_s0.log:presolved problem has 5716 variables (5685 bin, 0 int, 31 cont) and 932 constraints
fpc/out/fact/loopha13__bare_s0.log:presolved problem has 4935 variables (4041 bin, 0 int, 894 cont) and 8809 constraints
fpc/out/fact/opm2-z6-s1__bare_s0.log:presolved problem has 1246 variables (1246 bin, 0 int, 0 cont) and 12245 constraints
fpc/out/fact/neos-3004026-krka__bare_s0.log:presolved problem has 8450 variables (8320 bin, 130 int, 0 cont) and 10400 constraints
fpc/out/fact/nexp-150-20-8-5__bare_s0.log:presolved problem has 18405 variables (16360 bin, 0 int, 2045 cont) and 4240 constraints
fpc/out/fact/ab71-20-100__bare_s0.log:presolved problem has 5020 variables (5020 bin, 0 int, 0 cont) and 5254 constraints
fpc/out/fact/eil33-2__bare_s0.log:presolved problem has 4484 variables (4484 bin, 0 int, 0 cont) and 32 constraints
fpc/out/fact/neos-3045796-mogo__bare_s0.log:presolved problem has 10881 variables (10881 bin, 0 int, 0 cont) and 2226 constraints
fpc/out/fact/piperout-08__bare_s0.log:presolved problem has 5906 variables (5815 bin, 91 int, 0 cont) and 5090 constraints
fpc/out/fact/f2000__bare_s0.log:presolved problem has 3995 variables (3995 bin, 0 int, 0 cont) and 10495 constraints
fpc/out/fact/s1234__bare_s0.log:presolved problem has 2864 variables (2864 bin, 0 int, 0 cont) and 8217 constraints
fpc/out/fact/30_70_45_05_100__bare_s0.log:presolved problem has 10752 variables (10752 bin, 0 int, 0 cont) and 12031 constraints
fpc/out/fact/neos-4382714-ruvuma__bare_s0.log:presolved problem has 6561 variables (6561 bin, 0 int, 0 cont) and 3645 constraints
fpc/out/fact/30_70_45_095_98__bare_s0.log:presolved problem has 10908 variables (10908 bin, 0 int, 0 cont) and 12394 constraints
fpc/out/fact/neos-1599274__bare_s0.log:presolved problem has 2934 variables (2934 bin, 0 int, 0 cont) and 980 constraints
fpc/out/fact/ramos3__bare_s0.log:presolved problem has 2187 variables (2187 bin, 0 int, 0 cont) and 2187 constraints
fpc/out/fact/rococoC11-010100__bare_s0.log:presolved problem has 9883 variables (9883 bin, 0 int, 0 cont) and 1406 constraints
fpc/out/fact/decomp1__bare_s0.log:presolved problem has 6302 variables (6302 bin, 0 int, 0 cont) and 2585 constraints
fpc/out/fact/30_70_45_095_100__bare_s0.log:presolved problem has 10960 variables (10960 bin, 0 int, 0 cont) and 12506 constraints
fpc/out/fact/neos-1223462__bare_s0.log:presolved problem has 4607 variables (4572 bin, 35 int, 0 cont) and 5223 constraints
fpc/out/fact/pythago7824__bare_s0.log:presolved problem has 3740 variables (3740 bin, 0 int, 0 cont) and 7326 constraints
fpc/out/fact/pythago7825__bare_s0.log:presolved problem has 3745 variables (3745 bin, 0 int, 0 cont) and 7336 constraints
fpc/out/fact/neos-3226448-wkra__bare_s0.log:presolved problem has 10012 variables (10012 bin, 0 int, 0 cont) and 2208 constraints
fpc/out/fact/cap6000__bare_s0.log:presolved problem has 4596 variables (4596 bin, 0 int, 0 cont) and 1725 constraints
fpc/out/fact/neos-3682128-sandon__bare_s0.log:presolved problem has 4070 variables (4065 bin, 5 int, 0 cont) and 5229 constraints
fpc/out/fact/comp08-2idx__bare_s0.log:presolved problem has 11045 variables (10978 bin, 67 int, 0 cont) and 12155 constraints
fpc/out/fact/air05__bare_s0.log:presolved problem has 6171 variables (6171 bin, 0 int, 0 cont) and 343 constraints
fpc/out/fact/reblock354__bare_s0.log:presolved problem has 3514 variables (3514 bin, 0 int, 0 cont) and 19524 constraints
fpc/out/fact/tanglegram6__bare_s0.log:presolved problem has 8883 variables (8883 bin, 0 int, 0 cont) and 17404 constraints
fpc/out/fact/piperout-27__bare_s0.log:presolved problem has 7692 variables (7597 bin, 95 int, 0 cont) and 7194 constraints
fpc/out/fact/supportcase3__bare_s0.log:presolved problem has 2140 variables (2140 bin, 0 int, 0 cont) and 7579 constraints
fpc/out/fact/iis-glass-cov__bare_s0.log:presolved problem has 213 variables (213 bin, 0 int, 0 cont) and 5375 constraints
fpc/out/fact/comp21-2idx__bare_s0.log:presolved problem has 10704 variables (10633 bin, 71 int, 0 cont) and 13991 constraints
fpc/out/fact/cod105__bare_s0.log:presolved problem has 472 variables (472 bin, 0 int, 0 cont) and 1026 constraints
fpc/out/fact/l2p12__bare_s0.log:presolved problem has 9339 variables (9083 bin, 256 int, 0 cont) and 17228 constraints
fpc/out/fact/neos-914441__bare_s0.log:presolved problem has 15007 variables (15006 bin, 0 int, 1 cont) and 15129 constraints
fpc/out/fact/pb-gfrd-pnc__bare_s0.log:presolved problem has 25929 variables (25929 bin, 0 int, 0 cont) and 3491 constraints
fpc/out/fact/rococoC12-010001__bare_s0.log:presolved problem has 13888 variables (13888 bin, 0 int, 0 cont) and 1782 constraints
fpc/out/fact/n2seq36f__bare_s0.log:presolved problem has 3231 variables (3231 bin, 0 int, 0 cont) and 254 constraints
fpc/out/fact/graphdraw-mainerd__bare_s0.log:presolved problem has 2050 variables (1860 bin, 62 int, 128 cont) and 20661 constraints
fpc/out/fact/neos-633273__bare_s0.log:presolved problem has 5079 variables (5079 bin, 0 int, 0 cont) and 5498 constraints
fpc/out/fact/glass-sc__bare_s0.log:presolved problem has 214 variables (214 bin, 0 int, 0 cont) and 6119 constraints
fpc/out/fact/decomp2__bare_s0.log:presolved problem has 9595 variables (9595 bin, 0 int, 0 cont) and 3312 constraints
fpc/out/fact/neos-820879__bare_s0.log:presolved problem has 8168 variables (8168 bin, 0 int, 0 cont) and 346 constraints
fpc/out/fact/tbfp-bigm__bare_s0.log:presolved problem has 2406 variables (2404 bin, 0 int, 2 cont) and 34747 constraints
fpc/out/fact/comp12-2idx__bare_s0.log:presolved problem has 9470 variables (9428 bin, 42 int, 0 cont) and 15968 constraints
fpc/out/fact/ab72-40-100__bare_s0.log:presolved problem has 9619 variables (9619 bin, 0 int, 0 cont) and 9139 constraints
fpc/out/fact/air04__bare_s0.log:presolved problem has 7617 variables (7617 bin, 0 int, 0 cont) and 613 constraints
fpc/out/fact/ab51-40-100__bare_s0.log:presolved problem has 10080 variables (10080 bin, 0 int, 0 cont) and 9495 constraints
fpc/out/fact/biella1__bare_s0.log:presolved problem has 7311 variables (6110 bin, 0 int, 1201 cont) and 1520 constraints
fpc/out/fact/ab69-40-100__bare_s0.log:presolved problem has 10043 variables (10043 bin, 0 int, 0 cont) and 9547 constraints
fpc/out/fact/neos-1601936__bare_s0.log:presolved problem has 3920 variables (3570 bin, 0 int, 350 cont) and 3105 constraints
fpc/out/fact/neos-5178119-nalagi__bare_s0.log:presolved problem has 3576 variables (3489 bin, 0 int, 87 cont) and 4969 constraints
fpc/out/fact/lectsched-4-obj__bare_s0.log:presolved problem has 2601 variables (2495 bin, 106 int, 0 cont) and 4781 constraints
fpc/out/fact/blp-ir98__bare_s0.log:presolved problem has 5266 variables (5266 bin, 0 int, 0 cont) and 475 constraints
fpc/out/fact/neos-2294525-abba__bare_s0.log:presolved problem has 10326 variables (10086 bin, 0 int, 240 cont) and 10400 constraints
fpc/out/fact/ab67-40-100__bare_s0.log:presolved problem has 10471 variables (10471 bin, 0 int, 0 cont) and 9912 constraints
fpc/out/fact/neos-5260764-orauea__bare_s0.log:presolved problem has 12910 variables (12560 bin, 0 int, 350 cont) and 12306 constraints
fpc/out/fact/opm2-z7-s8__bare_s0.log:presolved problem has 1884 variables (1884 bin, 0 int, 0 cont) and 26269 constraints
fpc/out/fact/chromaticindex256-8__bare_s0.log:presolved problem has 18432 variables (18432 bin, 0 int, 0 cont) and 16895 constraints
fpc/out/fact/ns1208400__bare_s0.log:presolved problem has 2596 variables (2596 bin, 0 int, 0 cont) and 1981 constraints
fpc/out/fact/wachplan__bare_s0.log:presolved problem has 2279 variables (2278 bin, 1 int, 0 cont) and 619 constraints
fpc/out/fact/neos-952987__bare_s0.log:presolved problem has 29736 variables (29736 bin, 0 int, 0 cont) and 521 constraints
fpc/out/fact/air03__bare_s0.log:presolved problem has 7148 variables (7148 bin, 0 int, 0 cont) and 80 constraints
fpc/out/fact/neos-829552__bare_s0.log:presolved problem has 40971 variables (40971 bin, 0 int, 0 cont) and 5153 constraints
fpc/out/fact/genus-sym-grafo5708-48__bare_s0.log:presolved problem has 3376 variables (3375 bin, 1 int, 0 cont) and 20406 constraints
fpc/out/fact/comp07-2idx__bare_s0.log:presolved problem has 17137 variables (17028 bin, 109 int, 0 cont) and 21175 constraints
fpc/out/fact/neos-3581454-haast__bare_s0.log:presolved problem has 4961 variables (4715 bin, 0 int, 246 cont) and 8218 constraints
fpc/out/fact/neos-3216931-puriri__bare_s0.log:presolved problem has 2759 variables (2600 bin, 0 int, 159 cont) and 3515 constraints
fpc/out/fact/msc98-ip__bare_s0.log:presolved problem has 12752 variables (11940 bin, 0 int, 812 cont) and 14998 constraints
fpc/out/fact/amaze22012-03-15i__bare_s0.log:presolved problem has 85270 variables (28817 bin, 284 int, 56169 cont) and 113122 constraints
fpc/out/fact/supportcase29__bare_s0.log:presolved problem has 11182 variables (11182 bin, 0 int, 0 cont) and 426 constraints
fpc/out/fact/irp__bare_s0.log:presolved problem has 18993 variables (18993 bin, 0 int, 0 cont) and 39 constraints
fpc/out/fact/ns1830653__bare_s0.log:presolved problem has 672 variables (541 bin, 0 int, 131 cont) and 1362 constraints
fpc/out/fact/trento1__bare_s0.log:presolved problem has 7676 variables (6415 bin, 0 int, 1261 cont) and 1330 constraints
fpc/out/fact/v150d30-2hopcds__bare_s0.log:presolved problem has 148 variables (148 bin, 0 int, 0 cont) and 5858 constraints
fpc/out/fact/neos-950242__bare_s0.log:presolved problem has 4272 variables (4272 bin, 0 int, 0 cont) and 30432 constraints
fpc/out/fact/neos-738098__bare_s0.log:presolved problem has 8877 variables (8877 bin, 0 int, 0 cont) and 9443 constraints
fpc/out/fact/fiball__bare_s0.log:presolved problem has 32899 variables (32640 bin, 258 int, 1 cont) and 2387 constraints
fpc/out/fact/2club200v15p5scn__bare_s0.log:presolved problem has 200 variables (200 bin, 0 int, 0 cont) and 16997 constraints
fpc/out/fact/ex1010-pi__bare_s0.log:presolved problem has 13351 variables (13351 bin, 0 int, 0 cont) and 1466 constraints
fpc/out/fact/neos-578379__bare_s0.log:presolved problem has 10041 variables (10041 bin, 0 int, 0 cont) and 11945 constraints
fpc/out/fact/neos-3214367-sovi__bare_s0.log:presolved problem has 3401 variables (3264 bin, 137 int, 0 cont) and 4218 constraints
fpc/out/fact/neos-932721__bare_s0.log:presolved problem has 5796 variables (5670 bin, 0 int, 126 cont) and 2106 constraints
fpc/out/fact/ns1856153__bare_s0.log:presolved problem has 9870 variables (9828 bin, 0 int, 42 cont) and 20496 constraints
