# nome	tl	zlp   (da results_fact.txt, mk_inst_e1.py)
opm2-z6-s1	64	-7.54051747191099e+03
opm2-z7-s8	200	-1.33720555216556e+04
opm2-z8-s0	300	-1.93945031246879e+04
opt1217	20	-2.00213903743316e+01
polygonpack4-10	20	-9.36769534701000e+07
polygonpack4-7	20	-7.53249588742000e+07
probportfolio	20	+5.00000000000000e+00
pw-myciel4	20	+0.00000000000000e+00
qap10	300	+3.32566227653655e+02
qnet1	20	+1.42741026670944e+04
qnet1_o	20	+1.25572479166667e+04
queens-30	201	-7.09126890196034e+01
rail507	89	+1.72145566676549e+02
reblock115	20	-3.88163928632376e+07
reblock354	146	-3.96416924522917e+07
rlp1	20	+1.32444444444444e+01
rococoB10-011000	20	+8.35019946847912e+03
rococoC10-001000	20	+7.51527102941177e+03
rococoC11-010100	35	+8.77320654296875e+03
rococoC11-011100	20	+9.02420540557132e+03
rococoC12-010001	52	+2.67872921470588e+04
s55	191	-2.21517731590068e+01
sing5	300	+1.84185160131375e+07
sorrell3	20	-5.12000000000000e+02
sorrell4	71	-1.02400000000000e+03
sorrell7	20	-1.02400000000000e+03
sp97ar	40	+6.52560391247564e+08
sp97ic	20	+4.22097069263589e+08
sp98ar	25	+5.24404421762189e+08
sp98ic	20	+4.44277568934152e+08
square23	40	+8.33333333333333e+00
supportcase14	20	+2.72000000000000e+02
supportcase16	20	+2.72000000000000e+02
supportcase26	20	+1.28810216113570e+03
supportcase6	300	+4.50907321634633e+04
t1717	168	+1.34531021428418e+05
t1722	41	+9.88154076108740e+04
tbfp-bigm	20	-1.78153988054901e+02
tbfp-network	300	+2.32615354937761e+01
trento1	123	+5.18275884805561e+06
tw-myciel4	20	+3.83802816901408e+00
umts	20	+2.91295651613444e+07
v150d30-2hopcds	20	+2.76174903752728e+01
var-smallemery-m6j6	98	-1.56056268122537e+02
wachplan	20	-9.00000000000000e+00
