# set	name	mps	zbest	bench
eval	rlp1	/nfsd/rop/instances/miplib2017/rlp1.mps.gz	14.9999999999092	0
eval	satellites2-40	/nfsd/rop/instances/miplib2017/satellites2-40.mps.gz	-19	1
eval	satellites2-60-fs	/nfsd/rop/instances/miplib2017/satellites2-60-fs.mps.gz	-19.0000000001	1
eval	seymour	/nfsd/rop/instances/miplib2017/seymour.mps.gz	423	1
eval	sorrell3	/nfsd/rop/instances/miplib2017/sorrell3.mps.gz	-16	1
eval	sorrell7	/nfsd/rop/instances/miplib2017/sorrell7.mps.gz	-198	0
eval	sorrell8	/nfsd/rop/instances/miplib2017/sorrell8.mps.gz	-350	0
eval	sp97ar	/nfsd/rop/instances/miplib2017/sp97ar.mps.gz	660705645.759	1
eval	sp97ic	/nfsd/rop/instances/miplib2017/sp97ic.mps.gz	427684487.68	0
eval	sp98ar	/nfsd/rop/instances/miplib2017/sp98ar.mps.gz	529740623.2	1
eval	sp98ic	/nfsd/rop/instances/miplib2017/sp98ic.mps.gz	449144758.4	0
eval	supportcase14	/nfsd/rop/instances/miplib2017/supportcase14.mps.gz	288	0
eval	supportcase16	/nfsd/rop/instances/miplib2017/supportcase16.mps.gz	288	0
eval	trento1	/nfsd/rop/instances/miplib2017/trento1.mps.gz	5189487	1
eval	wnq-n100-mw99-14	/nfsd/rop/instances/miplib2017/wnq-n100-mw99-14.mps.gz	259	0
eval	z26	/nfsd/rop/instances/miplib2017/z26.mps.gz	-1198	0
eval	supportcase26	/nfsd/rop/instances/miplib2017/supportcase26.mps.gz	1745.123813	1
eval	swath	/nfsd/rop/instances/miplib2017/swath.mps.gz	467.407491	0
eval	t1722	/nfsd/rop/instances/miplib2017/t1722.mps.gz	108953	0
eval	tbfp-bigm	/nfsd/rop/instances/miplib2017/tbfp-bigm.mps.gz	24.163194443	0
eval	var-smallemery-m6j6	/nfsd/rop/instances/miplib2017/var-smallemery-m6j6.mps.gz	-149.37501	1
eval	vpphard	/nfsd/rop/instances/miplib2017/vpphard.mps.gz	5	0
