# famiglia	banda	path	n	ncons	nnz	quota_bin
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3116779-oban.mps.gz	5141	328	20561	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1324574.mps.gz	5256	5904	20880	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-5125849-lopori.mps.gz	8130	453	20938	0.989
miplib2017	bin0.87	/nfsd/rop/instances/miplib2017/pigeon-16.mps.gz	1072	2353	21104	0.866
miplib2017	bin0.82	/nfsd/rop/instances/miplib2017/ns2071214.mps.gz	2720	6250	21474	0.816
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bnatt400.mps.gz	3600	5614	21698	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu120-pr9.mps.gz	7350	2220	22176	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/nu4-pr9.mps.gz	7350	2220	22176	0.994
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/umts.mps.gz	2947	4465	23016	0.951
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bppc4-08.mps.gz	1456	111	23964	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos18.mps.gz	3312	11402	24614	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-1582420.mps.gz	10100	10180	24814	0.990
miplib2017	bin0.92	/nfsd/rop/instances/miplib2017/amaze22012-07-04i.mps.gz	11566	2986	25256	0.921
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/neos-3135526-osun.mps.gz	192	1546	25750	0.885
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/bnatt500.mps.gz	4500	7029	27203	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tw-myciel4.mps.gz	760	8146	27961	0.999
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/assign1-10-4.mps.gz	572	582	28280	0.909
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/peg-solitaire-a3.mps.gz	4552	4587	28387	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-933562.mps.gz	3032	3200	28800	0.997
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase18.mps.gz	13410	240	28920	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/f2000.mps.gz	4000	10500	29500	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira100.mps.gz	5150	10000	29873	0.981
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/disctom.mps.gz	10000	399	30000	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1516309.mps.gz	4500	489	30400	1.000
miplib2017	bin0.92	/nfsd/rop/instances/miplib2017/neos-4477313-unzha.mps.gz	2193	4174	30400	0.919
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-3696678-lyvia.mps.gz	7683	9004	30452	0.978
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/rococoC11-011100.mps.gz	6491	2367	30472	0.974
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1337307.mps.gz	2840	5687	30799	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-3211096-shag.mps.gz	4379	10187	31705	0.979
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ramos3.mps.gz	2187	2187	32805	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4382714-ruvuma.mps.gz	6562	3645	32805	1.000
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/pigeon-20.mps.gz	1580	3661	33100	0.886
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/seymour.mps.gz	1372	4944	33549	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex128-5.mps.gz	9216	8447	33780	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/swath.mps.gz	6805	884	34965	0.988
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/fhnw-binpack4-58.mps.gz	7550	9900	35750	0.980
miplib2017	bin0.92	/nfsd/rop/instances/miplib2017/neos-1456979.mps.gz	4605	6770	36440	0.922
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-850681.mps.gz	2594	2067	37113	0.956
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/sorrell8.mps.gz	2046	18944	37888	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase4.mps.gz	3162	9492	38036	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/piperout-03.mps.gz	9526	12246	39067	0.984
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-3603137-hoteo.mps.gz	4003	10510	39146	0.978
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock166.mps.gz	1660	17024	39442	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/mitre.mps.gz	10724	2054	39704	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/hanoi5.mps.gz	3862	16399	39718	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3226448-wkra.mps.gz	10012	2208	40048	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-3691541-lonja.mps.gz	10300	10320	40568	0.990
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-100-12.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-100-23.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-25-23.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-25-27.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/drayage-25-32.mps.gz	11090	4630	41550	0.994
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/loopha13.mps.gz	19356	23758	41809	0.938
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z6-s1.mps.gz	1350	15533	41844	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-3004026-krka.mps.gz	17030	12545	41860	0.992
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab71-20-100.mps.gz	6689	6380	41961	1.000
miplib2017	bin0.89	/nfsd/rop/instances/miplib2017/nexp-150-20-8-5.mps.gz	20115	4620	42465	0.889
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/pythago7824.mps.gz	3740	14652	43956	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/pythago7825.mps.gz	3745	14672	44016	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/eil33-2.mps.gz	4516	32	44243	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3045796-mogo.mps.gz	11035	2226	44461	0.998
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/s1234.mps.gz	2945	8418	44641	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/piperout-08.mps.gz	10399	14589	44959	0.985
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_05_100.mps.gz	10772	12050	45889	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_095_98.mps.gz	10990	12471	46387	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30_70_45_095_100.mps.gz	10976	12526	46640	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-1599274.mps.gz	4500	1237	46800	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/rococoC11-010100.mps.gz	12321	4010	46955	0.987
miplib2017	bin0.94	/nfsd/rop/instances/miplib2017/neos-1223462.mps.gz	5530	5890	47075	0.937
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/decomp1.mps.gz	10735	8357	47889	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cap6000.mps.gz	6000	2176	48243	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-3682128-sandon.mps.gz	7880	14920	50438	0.999
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/comp08-2idx.mps.gz	11554	12536	51608	0.994
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air05.mps.gz	7195	426	52121	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock354.mps.gz	3540	19906	52901	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tanglegram6.mps.gz	9182	17712	53136	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase3.mps.gz	4191	12702	53470	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/piperout-27.mps.gz	11659	18442	54662	0.988
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/iis-glass-cov.mps.gz	214	5375	56133	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/comp21-2idx.mps.gz	10863	14038	57301	0.993
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/cod105.mps.gz	1024	1024	57344	1.000
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/l2p12.mps.gz	11786	21315	59629	0.925
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-914441.mps.gz	15007	15129	59658	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/rococoC12-010001.mps.gz	16741	4636	59832	0.989
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/pb-gfrd-pnc.mps.gz	27888	874	60737	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/n2seq36f.mps.gz	8100	285	60948	1.000
miplib2017	bin0.92	/nfsd/rop/instances/miplib2017/neos-3209519-ruhr.mps.gz	8675	12500	61725	0.922
miplib2017	bin0.91	/nfsd/rop/instances/miplib2017/graphdraw-mainerd.mps.gz	2050	20661	62350	0.907
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-633273.mps.gz	11154	21781	63910	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/glass-sc.mps.gz	214	6119	63918	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/decomp2.mps.gz	14387	10765	64073	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex256-8.mps.gz	18432	16895	67572	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-3355323-arnon.mps.gz	10248	21216	69912	0.986
miplib2017	bin0.95	/nfsd/rop/instances/miplib2017/amaze22012-03-15i.mps.gz	33458	5189	70670	0.953
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/biella1.mps.gz	7328	1203	71489	0.834
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab72-40-100.mps.gz	12370	11671	72137	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-820879.mps.gz	9522	361	72356	1.000
miplib2017	bin0.88	/nfsd/rop/instances/miplib2017/neos-1601936.mps.gz	4446	3131	72500	0.879
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/genus-sym-grafo5708-48.mps.gz	3379	20538	72579	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab51-40-100.mps.gz	12675	11893	72745	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air04.mps.gz	8904	823	72965	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/comp12-2idx.mps.gz	11863	16803	73677	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab69-40-100.mps.gz	12622	11911	74233	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/tbfp-bigm.mps.gz	2406	35999	74338	0.999
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-5178119-nalagi.mps.gz	4167	6921	74476	0.976
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ab67-40-100.mps.gz	12812	12092	75871	1.000
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/blp-ir98.mps.gz	6097	486	79152	0.989
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/opm2-z7-s8.mps.gz	2023	31798	79756	1.000
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/neos-2294525-abba.mps.gz	10842	11122	80010	0.930
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ns1208400.mps.gz	2883	4289	81746	0.999
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/lectsched-4-obj.mps.gz	7901	14163	82428	0.970
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/neos-5260764-orauea.mps.gz	12940	12304	82620	0.972
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/comp07-2idx.mps.gz	17264	21235	86577	0.994
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-829552.mps.gz	40971	5153	86952	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/wachplan.mps.gz	3361	1553	89361	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-952987.mps.gz	31329	354	90384	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/air03.mps.gz	10757	124	91028	1.000
miplib2017	bin0.92	/nfsd/rop/instances/miplib2017/neos-3216931-puriri.mps.gz	3555	5989	91691	0.919
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/msc98-ip.mps.gz	21143	15850	92918	0.957
miplib2017	bin0.93	/nfsd/rop/instances/miplib2017/neos-3581454-haast.mps.gz	8112	17220	92976	0.926
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/queens-30.mps.gz	900	960	93440	1.000
miplib2017	bin0.87	/nfsd/rop/instances/miplib2017/neos-1605061.mps.gz	4111	3474	93483	0.868
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/trento1.mps.gz	7687	1265	93571	0.835
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-3214367-sovi.mps.gz	4318	7244	93911	0.959
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/supportcase29.mps.gz	12050	12441	96050	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/irp.mps.gz	20315	39	98254	1.000
miplib2017	bin0.90	/nfsd/rop/instances/miplib2017/ns1830653.mps.gz	1629	2932	100933	0.895
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-738098.mps.gz	9093	25849	101360	0.984
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-578379.mps.gz	17010	21703	101560	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ex1010-pi.mps.gz	25200	1468	102114	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/v150d30-2hopcds.mps.gz	150	7822	103991	1.000
miplib2017	bin0.96	/nfsd/rop/instances/miplib2017/neos-950242.mps.gz	5760	34224	104160	0.958
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/core2586-950.mps.gz	13226	2589	104678	0.999
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/fiball.mps.gz	34219	3707	104792	0.992
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/2club200v15p5scn.mps.gz	200	17013	104811	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/ns1856153.mps.gz	11998	35407	105882	0.996
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/neos-932721.mps.gz	22266	18085	107908	0.980
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/30n20b8.mps.gz	18380	576	109706	0.997
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/neos-1593097.mps.gz	18460	798	113308	0.986
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/ns1631475.mps.gz	22696	24496	116733	0.990
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/blp-ic97.mps.gz	9845	923	118149	0.991
miplib2017	bin0.99	/nfsd/rop/instances/miplib2017/fhnw-schedule-paira200.mps.gz	20300	40000	119746	0.990
miplib2017	bin0.83	/nfsd/rop/instances/miplib2017/dc1c.mps.gz	10039	1649	121158	0.835
miplib2017	bin0.97	/nfsd/rop/instances/miplib2017/satellites2-60-fs.mps.gz	35378	16516	125048	0.970
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4359986-taipa.mps.gz	25130	48864	126561	0.999
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/leo1.mps.gz	6731	593	131218	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/t1722.mps.gz	36630	338	133096	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/brazil3.mps.gz	23968	14646	133184	0.996
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-5013590-toitoi.mps.gz	27061	53957	134480	1.000
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/mzzv11.mps.gz	10240	9499	134603	0.975
miplib2017	bin0.98	/nfsd/rop/instances/miplib2017/fhnw-binschedule2.mps.gz	30973	6503	134640	0.985
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/chromaticindex512-7.mps.gz	36864	33791	135156	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/reblock420.mps.gz	4200	62800	138670	1.000
miplib2017	bin1.00	/nfsd/rop/instances/miplib2017/neos-4954274-beardy.mps.gz	12865	17359	140082	1.000
